invoice_id,customer,date,amount_paid,quantity_received
INV0176,Nykaa,2025-10-29,7435.0,90
INV0177,BigBasket,2026-03-26,12982.19,135
INV0178,Flipkart,2026-02-17,10958.0,87
INV0179,BigBasket,2026-01-03,12767.97,131
INV0180,Nykaa,2025-11-07,7451.0,58
INV0181,DMart,2025-10-11,19869.0,220
INV0182,DMart,2025-10-11,17608.0,194
INV0183,Flipkart,2025-11-23,12518.0,86
INV0184,Nykaa,2026-03-20,7313.0,70
INV0185,BigBasket,2026-02-21,14273.0,118
INV0186,Flipkart,2026-01-13,11053.0,120
INV0187,Flipkart,2025-11-09,14950.87,131
INV0188,Flipkart,2025-11-30,15737.0,93
INV0189,Flipkart,2025-11-15,12919.0,114
INV0190,Flipkart,2025-10-07,15817.0,92
INV0191,BigBasket,2025-12-25,11936.54,123
INV0192,Reliance,2026-01-14,14380.0,223
INV0193,Reliance,2025-12-03,21204.0,245
INV0194,DMart,2026-03-29,19230.0,247
INV0195,BigBasket,2025-10-10,14663.78,123
INV0196,Flipkart,2025-11-26,9023.0,120
INV0197,BigBasket,2026-01-26,10303.0,191
INV0199,BigBasket,2026-03-18,9203.0,167
INV0200,BigBasket,2025-12-24,13679.0,174
INV0201,DMart,2025-10-18,12278.74,158
INV0202,Flipkart,2025-12-11,11011.0,111
INV0203,DMart,2026-02-08,16379.0,202
INV0204,DMart,2026-02-15,14156.0,174
INV0205,DMart,2025-10-08,18433.0,198
INV0206,BigBasket,2025-12-06,15992.0,108
INV0207,BigBasket,2025-12-07,9704.0,175
INV0208,BigBasket,2026-03-02,14930.0,119
INV0209,DMart,2025-12-20,23584.0,184
INV0210,DMart,2026-02-08,22245.0,182
INV0211,BigBasket,2026-02-25,19770.0,189
INV0212,BigBasket,2025-10-12,12417.38,167
INV0213,Reliance,2025-10-01,28226.0,318
INV0214,Nykaa,2026-02-15,5649.0,79
INV0215,Nykaa,2026-03-21,8481.0,45
INV0216,BigBasket,2026-01-19,10686.0,80
INV0217,BigBasket,2026-03-20,13245.0,160
INV0218,Flipkart,2026-03-09,14851.1,111
INV0219,DMart,2025-11-01,20312.28,130
INV0220,Reliance,2025-12-16,16483.0,247
INV0221,Nykaa,2026-03-20,7537.0,69
INV0222,DMart,2026-01-12,10557.0,176
INV0223,Nykaa,2026-02-19,5173.0,79
INV0224,BigBasket,2026-01-16,15026.0,113
INV0226,Nykaa,2025-11-14,6912.0,72
INV0227,Nykaa,2025-12-17,5619.0,77
INV0228,DMart,2025-10-01,16091.0,151
INV0229,DMart,2025-11-23,17614.0,142
INV0230,DMart,2026-02-26,16006.0,136
INV0231,Nykaa,2025-12-22,9750.0,70
INV0232,DMart,2026-01-22,14878.59,187
INV0233,Nykaa,2026-02-08,6842.0,66
INV0234,DMart,2025-11-13,20211.0,207
INV0235,Nykaa,2025-12-12,6257.0,61
INV0236,Nykaa,2026-03-12,6614.0,37
INV0237,Nykaa,2025-10-24,5126.65,89
INV0238,Reliance,2025-11-30,33224.0,237
INV0239,Nykaa,2025-11-27,7807.0,74
INV0240,Reliance,2025-11-07,36089.96,305
INV0241,BigBasket,2025-12-02,13658.01,113
INV0242,Flipkart,2026-03-06,7465.0,114
INV0243,Reliance,2025-10-19,21218.0,178
INV0244,DMart,2026-03-11,15672.0,141
INV0245,Nykaa,2026-03-28,9405.52,82
INV0246,DMart,2026-01-11,17971.0,233
INV0247,BigBasket,2026-03-17,14216.0,115
INV0248,Nykaa,2025-10-28,9132.0,77
INV0249,Reliance,2025-11-26,19813.0,240
INV0250,BigBasket,2026-03-28,11595.02,101
CUST_EXTRA_001,Reliance,2026-02-09,3037.0,198
CUST_EXTRA_002,Flipkart,2026-01-27,16541.0,43
CUST_EXTRA_003,DMart,2026-02-10,14854.0,189
CUST_EXTRA_004,Reliance,2026-03-10,17484.0,43
CUST_EXTRA_005,DMart,2025-12-08,7293.0,103
CUST_EXTRA_006,Reliance,2026-03-28,18883.0,61
CUST_EXTRA_007,BigBasket,2026-03-11,10841.0,70
CUST_EXTRA_008,Nykaa,2026-02-19,3448.0,171
