invoice_id,customer,date,amount,quantity
INV0185,BigBasket,2026-02-21,14273,118
INV0186,Flipkart,2026-01-13,11053,120
INV0187,Flipkart,2025-11-09,14192,131
INV0188,Flipkart,2025-11-30,15737,93
INV0189,Flipkart,2025-11-15,12919,114
INV0190,Flipkart,2025-10-07,15817,92
INV0191,BigBasket,2025-12-25,11648,123
INV0192,Reliance,2026-01-14,14380,223
INV0193,Reliance,2025-12-03,21204,257
INV0194,DMart,2026-03-29,19230,247
INV0195,BigBasket,2025-10-10,16661,123
INV0196,Flipkart,2025-11-26,9023,120
INV0197,BigBasket,2026-01-26,10303,191
INV0198,DMart,2025-11-28,22245,163
INV0199,BigBasket,2026-03-18,9203,177
INV0200,BigBasket,2025-12-24,13679,174
INV0201,DMart,2025-10-18,12260,158
INV0202,Flipkart,2025-12-11,11011,111
INV0203,DMart,2026-02-08,16379,202
INV0204,DMart,2026-02-15,14156,174
INV0205,DMart,2025-10-08,18433,198
INV0206,BigBasket,2025-12-06,15992,108
INV0207,BigBasket,2025-12-07,9704,175
INV0208,BigBasket,2026-03-02,14930,119
INV0209,DMart,2025-12-20,23584,184
INV0210,DMart,2026-02-08,22245,182
INV0211,BigBasket,2026-02-25,19770,189
INV0212,BigBasket,2025-10-12,13302,167
INV0213,Reliance,2025-10-01,28226,318
INV0214,Nykaa,2026-02-15,5649,79
INV0215,Nykaa,2026-03-21,8481,45
INV0216,BigBasket,2026-01-19,10686,82
INV0217,BigBasket,2026-03-20,13245,160
INV0218,Flipkart,2026-03-09,14305,111
INV0219,DMart,2025-11-01,23863,130
INV0220,Reliance,2025-12-16,16483,247
INV0221,Nykaa,2026-03-20,7537,69
INV0222,DMart,2026-01-12,10557,176
INV0223,Nykaa,2026-02-19,5173,79
INV0224,BigBasket,2026-01-16,15026,113
INV0225,Nykaa,2026-01-06,6280,55
INV0226,Nykaa,2025-11-14,6912,83
INV0227,Nykaa,2025-12-17,5619,77
INV0228,DMart,2025-10-01,16091,151
INV0229,DMart,2025-11-23,17614,142
INV0230,DMart,2026-02-26,16006,136
INV0231,Nykaa,2025-12-22,9750,70
INV0232,DMart,2026-01-22,15480,187
INV0233,Nykaa,2026-02-08,6842,66
INV0234,DMart,2025-11-13,20211,207
INV0235,Nykaa,2025-12-12,6257,61
INV0236,Nykaa,2026-03-12,6614,37
INV0237,Nykaa,2025-10-24,4878,89
INV0238,Reliance,2025-11-30,33224,237
INV0239,Nykaa,2025-11-27,7807,74
INV0240,Reliance,2025-11-07,40394,305
INV0241,BigBasket,2025-12-02,13641,113
INV0242,Flipkart,2026-03-06,7465,114
INV0243,Reliance,2025-10-19,21218,178
INV0244,DMart,2026-03-11,15672,141
INV0245,Nykaa,2026-03-28,9361,82
INV0246,DMart,2026-01-11,17971,233
INV0247,BigBasket,2026-03-17,14216,115
INV0248,Nykaa,2025-10-28,9132,77
INV0249,Reliance,2025-11-26,19813,240
INV0250,BigBasket,2026-03-28,11548,101
